Event ID,Team 1 ID,RatingTotal,Rank
2070,6471,1,10533,
2070,6675,0,82933,
2070,6684,0,928,
2070,6685,1,358,
2071,4494,1,29,
2071,5310,1,086,
2071,5422,0,909,
2071,5752,1,12766,
2071,5973,1,1976,
2071,5974,1,085,
2071,5988,1,211,
2071,5995,1,111,
2071,6118,0,9735,
2071,6137,0,922,
2071,6211,0,986,
2071,6301,1,154,
2071,6375,1,10125,
2071,6471,0,602,
2071,6651,1,197,
2071,6736,0,83,
2090,4689,0,995,
2090,4742,0,952,
2090,6574,1,163,
2090,6592,1,1115,
2095,6410,1,0576,
2095,6469,0,914,
2095,6471,1,2587,
2095,6614,0,99357,
2099,4411,1,11067,
2099,4494,1,137,
2099,4608,1,2235,
2099,4863,0,94517,
2099,5378,1,0725,
2099,5422,1,0825,
2099,5973,1,035,
2099,5974,1,0525,
2099,5991,1,03666,
2099,5995,0,72,
2099,6118,1,012,
2099,6290,1,13184,
2099,6372,0,86,
2099,6665,1,01416,
2099,6667,0,999,
2099,6902,1,08666,
2100,4468,0,58867,
2100,4991,1,15595,
2100,5422,1,145,
2100,5435,0,83867,
2100,5991,0,92425,
2100,5995,1,15925,
2100,6375,0,96,
2100,6665,1,17184,
2101,4501,1,2424,
2101,6051,1,125,
2101,6597,0,7115,
2101,6622,1,14629,
2105,4477,0,9884,
2105,4682,1,12067,
2105,6471,0,974,
2105,6636,0,865,
2105,6670,0,96,
2105,6671,1,1802,
2105,6676,1,257,
2105,6677,0,738,
2106,5192,0,92667,
2106,5454,1,044,
2106,5730,0,976,
2106,5927,0,608,
2106,6055,0,761,
2106,6101,0,81933,
2106,6118,1,23714,
2106,6191,0,9928,
2106,6301,1,14244,
2106,6334,1,2122,
2106,6386,0,99457,
2106,6425,1,2981,
2106,6437,0,642,
2106,6638,0,95767,
2106,6641,0,85333,
2109,4411,1,00305,
2109,4688,1,016,
2109,4869,0,804,
2109,5310,0,917,
2109,6137,1,00983,
2109,6665,1,1896,
2109,6902,1,13016,
2109,7010,1,14663,
2110,5422,1,0325,
2110,5752,1,097,
2110,5988,1,01514,
2110,6134,1,06375,
2110,6211,1,09617,
2110,6615,0,944,
2110,6651,1,15266,
2110,6902,1,08325,
2112,5378,1,2386,
2112,5422,1,03788,
2112,5752,1,14314,
2112,5988,0,828,
2112,5991,1,10467,
2112,6651,0,9415,
2112,6667,0,9095,
2112,7175,0,80375,
2113,4501,1,17387,
2113,5195,0,999,
2113,5214,1,05118,
2113,5418,0,8305,
2113,5422,1,01856,
2113,5909,0,92158,
2113,6137,1,15529,
2113,6407,0,799,
2113,6624,1,21,
2115,6585,1,244,
2115,6586,1,34935,
2115,6590,1,0428,
2115,6643,0,851,
2115,6644,1,036,
2115,6645,0,834,
2115,6646,0,89,
2115,6647,1,0095,
2117,4548,1,28236,
2117,4611,1,20614,
2117,4682,0,96696,
2117,4894,1,21275,
2117,5524,0,82133,
2117,6213,0,86508,
2117,6220,1,01911,
2117,6297,0,636,
2117,6687,0,94733,
2118,6226,1,192,
2118,6460,0,992,
2118,6471,0,727,
2118,6651,1,1255,
2119,4445,0,97,
2119,4469,0,91675,
2119,4501,0,8835,
2119,4548,1,01024,
2119,4602,1,0278,
2119,4611,0,889,
2119,4869,1,17216,
2119,5395,1,17252,
2119,5524,0,9045,
2119,5596,1,0387,
2119,5929,1,01958,
2119,6045,1,054,
2119,6051,1,04277,
2119,6132,0,976,
2119,6137,1,24311,
2119,6220,0,98025,
2119,6222,1,03025,
2119,6226,1,27912,
2119,6287,1,15032,
2119,6372,1,18945,
2119,6375,1,1695,
2119,6405,1,10075,
2119,6410,0,962,
2119,6469,0,9652,
2119,6471,0,99125,
2119,6472,0,889,
2119,6498,0,80672,
2119,6639,0,9525,
2119,6651,1,07667,
2119,6652,0,91949,
2119,6662,1,06313,
2119,6666,0,889,
2119,6672,1,1285,
2119,6684,0,948,
2119,6686,1,048,
2119,6865,1,14075,
2121,4689,0,955,
2121,4800,0,928,
2121,5009,1,08408,
2121,5524,1,16133,
2124,4411,1,2455,
2124,4494,1,07543,
2124,4608,1,08013,
2124,4991,1,12112,
2124,5005,0,93575,
2124,5378,0,92186,
2124,5422,0,98534,
2124,5752,1,17802,
2124,5973,1,19483,
2124,5974,1,00375,
2124,5988,0,9871,
2124,5991,0,967,
2124,5995,1,17411,
2124,6137,0,87833,
2124,6211,1,07411,
2124,6290,1,26613,
2124,6301,0,9904,
2124,6386,1,01255,
2124,6615,1,152,
2124,6665,1,18138,
2124,6667,1,11299,
2124,6673,1,02433,
2124,6686,0,919,
2124,6736,1,14387,
2124,6794,0,80578,
2125,4922,1,14366,
2125,5412,1,2605,
2125,6297,0,844,
2125,6415,0,9364,
2126,4800,1,002,
2126,6213,1,11933,
2126,6408,1,142,
2126,6472,1,127,
2126,6597,0,984,
2126,6669,1,22,
2126,6679,0,87284,
2127,4501,1,161,
2127,4559,0,86733,
2127,4682,0,956,
2127,4803,0,969,
2127,5195,1,25333,
2127,6051,0,764,
2127,6448,1,3115,
2127,6683,0,9825,
2128,4494,1,12116,
2128,4548,1,05333,
2128,5310,0,956,
2128,5422,1,056,
2128,5988,0,86933,
2129,4445,1,134,
2129,4548,0,926,
2129,4602,0,98733,
2129,4736,1,016,
2129,5412,0,738,
2129,5596,1,05158,
2129,6132,1,34,
2129,6220,0,926,
2129,6407,1,29,
2129,6498,0,886,
2129,6636,1,032,
2129,6639,0,794,
2129,6652,1,1465,
2129,6662,1,10407,
2129,6672,0,978,
2129,6694,1,102,
2130,4411,1,07525,
2130,4991,1,05566,
2130,5752,0,932,
2130,5973,1,0412,
2130,5995,1,12667,
2130,6290,1,11359,
2130,6615,1,05634,
2130,6665,1,031,
2133,5192,0,8405,
2133,5907,1,396,
2133,5956,1,19767,
2133,6057,0,911,
2133,6117,1,187,
2133,6118,1,0705,
2133,6135,1,11166,
2133,6242,0,8688,
2133,6356,0,889,
2133,6556,0,85,
2133,6638,1,15647,
2133,6641,1,23667,
2133,6686,1,254,
2135,4411,1,12129,
2135,4494,1,07383,
2135,4608,1,1081,
2135,4991,1,18999,
2135,5005,0,89907,
2135,5378,1,21718,
2135,5422,0,89816,
2135,5752,1,14389,
2135,5973,0,8736,
2135,5974,0,83608,
2135,5988,0,91166,
2135,5991,1,166,
2135,5995,1,15,
2135,5996,0,94233,
2135,6137,1,22133,
2135,6211,0,96757,
2135,6290,1,30529,
2135,6615,1,0615,
2135,6651,0,9294,
2135,6665,1,14123,
2135,6667,1,09865,
2135,6673,0,8702,
2135,6680,0,9168,
2135,6736,0,8742,
2136,6040,0,736,
2136,6082,0,944,
2136,6499,1,4565,
2136,6533,1,0255,
2136,6555,0,868,
2136,6695,1,12633,
2136,6696,0,583,
2137,6417,0,97575,
2137,6418,1,0832,
2137,6419,1,10128,
2137,6420,1,12859,
2140,4445,1,1075,
2140,4477,1,12033,
2140,4736,0,8085,
2140,4745,0,997,
2140,4869,1,1664,
2140,5093,1,
2140,5395,1,0775,
2140,6287,1,15433,
2140,6405,0,76533,
2140,6407,1,05659,
2140,6471,0,9495,
2140,6622,1,26675,
2140,6683,0,869,
2140,6684,1,10733,
2140,6705,0,9538,
2140,6706,1,11284,
2141,5907,1,04743,
2141,5956,1,05097,
2141,6057,0,938,
2141,6117,1,17645,
2141,6135,1,096,
2141,6366,1,28371,
2141,6425,1,0465,
2141,6556,0,9935,
2141,6638,1,10658,
2141,6700,0,839,
2141,6701,0,9005,
2141,6702,0,87267,
2141,6703,1,02067,
2141,6704,0,975,
2141,6707,0,88733,
2141,6710,1,17728,
2144,6192,1,12968,
2144,6474,1,18033,
2144,6490,1,015,
2144,6600,0,99167,
2144,6648,1,0465,
2144,6715,0,858,
2144,6716,0,9268,
2144,6723,1,183,
2145,4691,1,049,
2145,5596,1,1799,
2145,6045,0,847,
2145,6051,1,18773,
2145,6369,1,0508,
2145,6717,0,713,
2145,6718,0,865,
2145,6719,1,03,
2146,4682,1,094,
2146,6220,1,04733,
2146,6666,0,98,
2146,6720,1,1,
2147,4469,1,1118,
2147,4477,1,23335,
2147,5435,1,2735,
2147,5524,1,07892,
2147,6222,1,14725,
2147,6491,0,91115,
2147,6639,1,04425,
2147,6672,1,057,
2147,6722,0,82396,
2148,4501,0,9648,
2148,4869,1,131,
2148,4894,0,94667,
2148,6287,0,975,
2148,6405,1,06909,
2148,6685,1,16458,
2148,6724,1,2715,
2148,6743,0,64733,
2149,4477,1,07233,
2149,4606,1,05716,
2149,4680,1,1245,
2149,4682,1,19775,
2149,5185,0,8675,
2149,5745,1,19717,
2149,6083,0,63133,
2149,6241,0,522,
2149,6287,1,0309,
2149,6407,1,322,
2149,6497,1,0066,
2149,6671,1,19166,
2149,6724,1,071,
2149,6726,1,03141,
2149,6727,0,736,
2149,6728,1,4378,
2150,5310,1,0965,
2150,5378,1,0884,
2150,5422,1,1441,
2150,6118,1,11965,
2150,6137,1,1805,
2150,6301,0,92134,
2150,6615,0,95683,
2150,6736,0,653,
2151,4991,1,29267,
2151,6665,0,83933,
2152,4445,0,87,
2152,4477,0,97667,
2152,4688,1,17063,
2152,4869,1,0359,
2152,5005,1,07438,
2152,5310,1,2035,
2152,5395,1,09825,
2152,5422,1,24121,
2152,5752,1,3024,
2152,5956,0,5955,
2152,5973,1,27829,
2152,5974,1,25433,
2152,5988,1,16343,
2152,5996,1,10794,
2152,6117,0,729,
2152,6118,1,088,
2152,6135,0,86033,
2152,6137,1,09911,
2152,6191,1,262,
2152,6211,1,1875,
2152,6226,1,0975,
2152,6238,0,99233,
2152,6287,1,00371,
2152,6290,1,3148,
2152,6301,1,02111,
2152,6366,1,02222,
2152,6372,0,826,
2152,6386,0,8455,
2152,6407,1,04882,
2152,6425,0,752,
2152,6615,1,26545,
2152,6638,0,88,
2152,6639,0,918,
2152,6670,1,02533,
2152,6673,1,06515,
2152,6684,0,896,
2152,6686,1,09433,
2152,6706,0,74,
2152,6710,0,95619,
2152,6724,0,8575,
2152,6736,1,16641,
2152,6753,0,796,
2152,6756,0,769,
2152,6792,0,96556,
2152,6794,0,8785,
2152,6905,0,737,
2153,5258,1,007,
2153,6109,1,31634,
2153,6353,1,0838,
2153,6416,0,9921,
2153,6445,0,977,
2153,6598,0,986,
2153,6681,0,947,
2153,6714,1,13368,
2154,4554,0,817,
2154,6732,1,345,
2155,5752,1,034,
2155,5973,1,36175,
2155,5974,1,17675,
2155,5996,0,851,
2155,6118,1,33616,
2155,6211,1,0885,
2155,6301,0,863,
2155,6527,0,699,
2155,6615,1,0608,
2155,6638,0,92875,
2155,6673,1,168,
2155,6680,0,625,
2155,6686,1,1115,
2155,6733,0,682,
2155,6734,0,714,
2155,6736,0,801,
2156,4781,1,298,
2156,6735,0,83933,
2157,4803,1,132,
2157,4982,1,1255,
2157,6099,0,9975,
2157,6501,0,856,
2157,6629,1,198,
2157,6737,1,12425,
2157,6738,0,8795,
2157,6739,1,058,
2158,4579,1,06512,
2158,4682,1,06195,
2158,5208,0,4745,
2158,6132,1,18188,
2158,6133,1,19686,
2158,6213,1,03338,
2158,6226,1,39684,
2158,6410,1,223,
2158,6639,1,04829,
2158,6669,0,91086,
2158,6684,1,20466,
2158,6745,0,92095,
2158,6921,0,909,
2158,6923,0,95837,
2158,6959,1,2592,
2158,6967,1,274,
2158,7017,1,258,
2158,7028,1,0924,
2159,5730,0,91667,
2159,6118,1,2568,
2159,6641,1,136,
2159,6686,1,464,
2159,6710,1,244,
2159,6741,0,921,
2159,6742,0,885,
2159,6753,0,644,
2159,6791,0,616,
2159,6794,0,976,
2160,4863,1,38565,
2160,6502,0,736,
2160,7092,1,00819,
2160,7169,1,1263,
2160,7567,1,115,
2160,7639,0,97133,
2161,4863,1,30286,
2161,6502,1,02534,
2161,6898,0,87833,
2161,7092,1,01572,
2162,4811,0,9475,
2162,5866,1,07133,
2162,6242,1,128,
2162,6499,1,42167,
2162,6748,0,6635,
2162,6749,1,07375,
2162,6750,0,824,
2162,6751,0,727,
2163,6132,0,922,
2163,6469,1,05133,
2163,6471,1,188,
2163,6668,0,95733,
2163,6669,1,07266,
2163,6684,1,0671,
2163,6752,1,04167,
2164,4680,1,27,
2164,4682,1,02,
2164,4688,1,102,
2164,4781,1,206,
2164,5034,0,976,
2164,5122,0,757,
2164,5347,0,614,
2164,5395,1,391,
2164,5412,1,416,
2164,5477,1,
2164,5524,0,978,
2164,5929,1,159,
2164,6408,0,986,
2164,6448,1,032,
2164,6469,0,562,
2164,6570,1,164,
2164,6629,1,065,
2164,6652,0,746,
2164,6668,1,108,
2164,6670,0,656,
2164,6720,0,918,
2164,6746,1,092,
2164,6754,1,594,
2164,6755,1,04,
2164,6760,0,866,
2164,6761,1,124,
2164,6762,1,364,
2164,6763,0,786,
2165,4501,0,9372,
2165,4982,0,8705,
2165,5310,0,86733,
2165,5395,1,24825,
2165,5422,1,178,
2165,5929,1,2045,
2165,6132,0,703,
2165,6137,1,1445,
2165,6226,1,005,
2165,6372,0,916,
2165,6407,0,87,
2165,6684,1,095,
2165,6685,1,242,
2165,6686,1,099,
2165,6756,0,866,
2165,6758,0,896,
2165,6763,1,266,
2165,6902,0,783,
2166,5158,1,281,
2166,6294,0,881,
2168,5752,1,4106,
2168,5973,1,11566,
2168,5974,1,00767,
2168,5996,0,9808,
2168,6118,0,92867,
2168,6211,1,07533,
2168,6290,1,112,
2168,6386,1,014,
2168,6615,0,773,
2168,6736,0,90909,
2169,6652,1,06733,
2169,6766,1,09267,
2170,6616,1,002,
2170,6618,1,204,
2170,6619,1,151,
2170,6631,0,97,
2170,6767,0,76,
2170,6768,1,312,
2170,6769,1,095,
2170,6770,1,05,
2170,6771,0,978,
2170,6772,1,132,
2170,6784,0,698,
2170,6785,1,468,
2170,6786,0,722,
2170,6787,1,196,
2170,6788,0,44,
2170,6789,1,618,
2171,6339,1,152,
2171,6353,0,944,
2171,6422,1,096,
2171,6474,1,306,
2171,6490,0,842,
2171,6598,1,418,
2171,6681,1,086,
2171,6714,1,274,
2171,6715,0,806,
2171,6747,1,062,
2171,6774,1,214,
2171,6775,1,03,
2171,6776,1,146,
2171,6777,0,954,
2171,6778,0,674,
2171,6779,0,97,
2172,4791,1,16953,
2172,4863,1,334,
2172,5176,1,16233,
2172,5258,0,861,
2172,6109,0,9655,
2172,6248,1,3055,
2172,6339,0,77267,
2172,6468,1,0735,
2172,6474,0,954,
2172,6598,0,747,
2172,6681,0,724,
2172,6714,0,777,
2172,6747,0,894,
2172,6773,1,15925,
2172,6774,1,0769,
2172,6776,0,651,
2173,4494,1,26114,
2173,4548,1,09933,
2173,5395,1,
2173,5412,0,976,
2173,5422,1,08,
2173,5988,1,10497,
2173,5995,1,074,
2173,6137,1,09733,
2173,6226,0,98133,
2173,6372,1,21675,
2173,6651,0,94133,
2173,6685,0,94,
2173,6724,1,03467,
2173,6763,0,904,
2173,6780,0,817,
2173,6783,0,756,
2174,4548,1,0654,
2174,4688,1,02133,
2174,4869,0,852,
2174,5034,0,669,
2174,5310,1,138,
2174,5395,0,901,
2174,5422,1,2156,
2174,5929,0,86,
2174,5988,1,077,
2174,5995,1,2212,
2174,6137,0,97284,
2174,6461,0,797,
2174,6651,0,796,
2174,6668,0,697,
2174,6685,1,3535,
2174,6686,1,16433,
2175,4548,1,21,
2175,4869,0,946,
2175,4894,0,954,
2175,5310,0,718,
2175,5395,1,342,
2175,5412,1,206,
2175,5596,0,888,
2175,6051,0,698,
2175,6133,0,866,
2175,6651,1,124,
2175,6685,1,15,
2175,6724,1,372,
2175,6780,1,4,
2175,6781,0,892,
2175,6782,0,73,
2175,6783,1,184,
2176,4445,0,99267,
2176,4501,1,07169,
2176,4548,1,06434,
2176,4688,0,908,
2176,4869,1,10707,
2176,5310,0,93767,
2176,5596,0,963,
2176,5599,1,2012,
2176,5949,0,686,
2176,5988,0,91025,
2176,6132,0,896,
2176,6133,1,13883,
2176,6134,0,99117,
2176,6137,1,00439,
2176,6226,1,1524,
2176,6369,0,949,
2176,6372,1,2004,
2176,6405,1,108,
2176,6407,0,876,
2176,6651,0,93141,
2176,6685,0,97733,
2176,6686,1,1058,
2176,6865,1,24958,
2176,6902,1,2625,
2176,6905,0,505,
2176,6959,1,119,
2176,7059,1,16671,
2177,4863,1,306,
2177,4865,0,99933,
2177,6504,0,929,
2177,6573,0,606,
2177,6635,0,867,
2177,6747,1,06617,
2177,6773,1,396,
2177,6790,0,756,
2178,6396,1,193,
2178,6399,0,951,
2179,4469,1,11777,
2179,5435,1,18063,
2179,5524,1,06642,
2179,6222,1,0414,
2179,6491,0,8975,
2179,6722,0,5845,
2180,5272,1,07533,
2180,5524,1,31643,
2180,6411,0,9865,
2180,6491,0,851,
2180,6722,1,13925,
2180,6795,0,874,
2180,6796,0,842,
2180,6797,0,8945,
2181,4602,1,32914,
2181,5919,0,71,
2181,6636,1,0532,
2181,6676,0,866,
2181,6807,0,9,
2181,6946,1,0945,
2181,6978,1,0131,
2181,7052,1,0295,
2182,5214,1,358,
2182,6584,0,81267,
2183,6560,0,653,
2183,6798,1,3428,
2183,6800,1,044,
2183,6803,0,718,
2184,4602,0,944,
2184,4688,1,052,
2184,4781,1,056,
2184,4869,1,266,
2184,5034,1,158,
2184,5310,1,222,
2184,5395,1,334,
2184,5929,1,436,
2184,6051,0,844,
2184,6133,0,772,
2184,6408,0,812,
2184,6668,1,452,
2184,6752,0,682,
2184,6804,0,752,
2185,4688,1,07178,
2185,4869,0,814,
2185,5195,1,052,
2185,5395,1,10133,
2185,6684,0,89075,
2185,6686,1,1556,
2185,6806,1,0895,
2185,6807,0,92933,
2186,4501,1,00467,
2186,4548,0,99733,
2186,5310,1,22,
2186,5395,1,
2186,5988,1,1252,
2186,6051,1,02,
2186,6132,0,902,
2186,6137,1,19615,
2186,6213,0,918,
2186,6222,0,748,
2186,6226,1,
2186,6287,1,11687,
2186,6372,1,05693,
2186,6405,1,216,
2186,6408,1,11267,
2186,6469,0,89333,
2186,6471,0,9535,
2186,6651,0,81875,
2186,6668,0,968,
2186,6669,0,904,
2186,6684,0,98758,
2186,6685,1,15091,
2186,6686,0,997,
2186,6724,1,078,
2186,6832,0,758,
2186,6865,1,16084,
2186,6902,0,8495,
2187,4608,1,10006,
2187,5310,1,03575,
2187,5378,1,21263,
2187,5599,1,09444,
2187,5988,0,958,
2187,6137,0,755,
2187,6302,1,0312,
2187,6902,1,01485,
2188,4803,0,91117,
2188,4922,0,936,
2188,4982,1,14814,
2188,6100,1,00435,
2188,6629,1,18541,
2188,6652,1,18641,
2188,6737,0,96475,
2188,6762,1,18237,
2188,6793,0,8526,
2188,6808,1,00015,
2188,6809,0,92234,
2188,6810,1,20405,
2189,5904,1,2,
2189,6170,1,224,
2189,6356,0,894,
2189,6753,1,014,
2189,6811,1,474,
2189,6812,1,104,
2189,6814,0,644,
2189,6815,1,068,
2189,6816,1,022,
2189,6817,0,917,
2189,6818,0,988,
2189,6819,1,383,
2189,6820,0,708,
2189,6821,1,03,
2189,6822,1,106,
2189,6823,1,438,
2189,6824,0,744,
2189,6866,0,946,
2189,6867,0,918,
2189,6868,0,994,
2189,6870,1,218,
2191,4477,1,1585,
2191,4602,1,1955,
2191,4606,1,08234,
2191,4680,1,02516,
2191,4688,1,4698,
2191,4829,1,0885,
2191,4846,0,81533,
2191,4861,0,8448,
2191,5009,1,155,
2191,5153,1,182,
2191,5831,0,9084,
2191,5929,1,46633,
2191,6072,0,96,
2191,6133,1,4045,
2191,6220,1,115,
2191,6415,1,027,
2191,6636,1,0885,
2191,6724,1,255,
2191,6745,1,1835,
2191,6807,1,2344,
2191,6825,0,526,
2191,6826,0,674,
2191,6827,1,08066,
2191,6828,0,726,
2191,6829,1,17583,
2191,6830,0,5,
2191,6831,0,9025,
2191,6832,1,5376,
2191,6833,0,744,
2191,6834,0,767,
2191,6835,0,986,
2191,6836,0,472,
2191,6837,1,28,
2191,6838,0,705,
2191,6839,1,078,
2191,6840,1,276,
2191,6841,1,0465,
2191,6842,1,37967,
2191,6843,0,7935,
2191,6844,0,393,
2191,6845,0,613,
2191,6846,0,818,
2191,6847,0,791,
2191,6848,0,85133,
2191,6849,1,0225,
2191,6850,0,557,
2191,6851,0,725,
2191,6852,0,98467,
2191,6853,0,86325,
2191,6854,0,996,
2191,6855,1,1894,
2191,6856,0,98975,
2191,6857,0,744,
2191,6858,1,14,
2191,6859,1,0014,
2191,6860,0,622,
2191,6861,1,0875,
2191,6862,1,4211,
2191,6863,0,536,
2191,6864,1,17167,
2192,5700,0,9,
2192,6710,1,261,
2193,4811,0,95543,
2193,5866,1,4355,
2193,6040,1,0557,
2193,6241,1,04283,
2193,6242,1,15545,
2193,6533,1,05997,
2193,6555,1,01484,
2193,6748,1,1632,
2193,6749,1,21534,
2193,6871,1,366,
2193,6872,0,89886,
2193,6873,1,1605,
2193,6875,0,5965,
2193,6876,1,1935,
2193,6877,0,6675,
2193,6878,0,826,
2193,6879,1,31838,
2193,6880,0,5565,
2195,4559,1,2185,
2195,5596,0,854,
2195,6051,1,06733,
2195,6369,0,652,
2197,5550,0,725,
2197,5752,1,38467,
2197,5996,1,2155,
2197,6118,1,2275,
2197,6289,0,96846,
2197,6301,1,187,
2197,6386,1,1535,
2197,6641,0,855,
2197,6673,1,08275,
2197,6736,1,1794,
2197,6791,0,938,
2197,6794,0,649,
2197,6870,0,724,
2197,6891,0,82,
2197,6892,0,896,
2198,5642,1,23333,
2198,6896,0,874,
2199,4665,0,808,
2199,4688,1,374,
2199,6761,0,797,
2199,6782,0,833,
2199,6897,1,17684,
2199,6948,0,968,
2199,6949,1,146,
2199,6996,0,97333,
2199,6997,1,188,
2199,7026,0,575,
2199,7027,1,35017,
2200,4863,1,34882,
2200,4865,1,06607,
2200,6474,1,18844,
2200,6502,1,03036,
2200,6504,0,987,
2200,6573,0,89125,
2200,6635,0,8494,
2200,6747,1,10793,
2200,6773,1,19938,
2200,6790,0,87305,
2200,6898,0,7885,
2200,6899,1,10572,
2201,6900,0,976,
2201,6901,1,12,
2202,4494,1,1336,
2202,5310,1,05891,
2202,5995,1,30067,
2202,6137,0,9985,
2202,6301,1,10208,
2202,6386,1,11975,
2202,6641,1,021,
2202,6651,1,04028,
2202,6680,1,10894,
2202,6686,0,995,
2202,6736,1,035,
2202,6794,0,88333,
2204,4863,1,19884,
2204,4865,0,93833,
2204,6573,0,93366,
2204,6747,0,86766,
2204,6773,1,33057,
2204,6899,0,888,
2204,6908,0,93463,
2204,6909,1,15244,
2206,6617,0,932,
2206,6789,1,235,
2208,4411,1,13425,
2208,4494,1,03525,
2208,4991,1,119,
2208,5005,0,9415,
2208,5378,0,99984,
2208,5422,0,90372,
2208,5752,1,10354,
2208,5973,1,149,
2208,5974,1,0306,
2208,5991,0,974,
2208,5995,1,11211,
2208,5996,1,07973,
2208,6290,1,29434,
2208,6615,1,12751,
2208,6665,1,19494,
2208,6667,1,05329,
2208,6673,0,97964,
2208,6680,1,10835,
2208,6914,0,82733,
2208,6981,0,968,
2209,6135,0,959,
2209,6238,1,221,
2210,4501,1,12933,
2210,5310,1,466,
2210,5395,0,95067,
2210,6684,0,695,
2211,4791,0,938,
2211,4863,1,19562,
2211,6211,1,0755,
2211,6248,1,12025,
